lat_min,lat_max,lon_min,lon_max,lat_c,lon_c,point_count,distinct_vessels,avg_sog,wait_pct,dominant_type
29.5,30.0,-94.5,-94.0,29.75,-94.25,229,20,4.27,17.5,tug/tow
29.0,29.5,-90.0,-89.5,29.25,-89.75,225,25,4.1,48.0,tug/tow
41.5,42.0,-88.0,-87.5,41.75,-87.75,224,25,1.44,68.8,passenger
18.0,18.5,-66.0,-65.5,18.25,-65.75,213,39,2.81,80.3,sailing
33.5,34.0,-78.5,-78.0,33.75,-78.25,211,34,1.46,78.2,other
18.0,18.5,-66.5,-66.0,18.25,-66.25,200,31,0.04,100.0,other
34.0,34.5,-78.0,-77.5,34.25,-77.75,196,37,0.82,93.4,other
30.0,30.5,-90.5,-90.0,30.25,-90.25,194,30,1.24,84.0,tug/tow
39.5,40.0,-76.0,-75.5,39.75,-75.75,187,21,4.12,67.4,other
40.0,40.5,-74.5,-74.0,40.25,-74.25,185,34,0.88,90.3,other
38.0,38.5,-122.5,-122.0,38.25,-122.25,182,30,6.34,64.8,other
30.0,30.5,-89.5,-89.0,30.25,-89.25,180,29,0.57,83.3,cargo
30.0,30.5,-94.5,-94.0,30.25,-94.25,177,22,0.89,83.6,tug/tow
30.0,30.5,-87.5,-87.0,30.25,-87.25,175,39,0.95,95.4,sailing
33.0,33.5,-118.5,-118.0,33.25,-118.25,171,18,6.2,50.3,passenger
40.5,41.0,-80.5,-80.0,40.75,-80.25,170,16,0.2,95.3,tug/tow
32.0,32.5,-81.0,-80.5,32.25,-80.75,166,43,0.04,99.4,sailing
37.5,38.0,-76.5,-76.0,37.75,-76.25,165,26,2.08,82.4,fishing
33.0,33.5,-118.0,-117.5,33.25,-117.75,161,35,0.48,91.9,sailing
46.0,46.5,-123.0,-122.5,46.25,-122.75,155,25,0.68,93.5,tug/tow
41.0,41.5,-72.5,-72.0,41.25,-72.25,153,18,5.89,38.6,passenger
43.5,44.0,-70.5,-70.0,43.75,-70.25,150,18,2.05,75.3,other
41.5,42.0,-71.0,-70.5,41.75,-70.75,150,28,2.72,69.3,fishing
49.0,49.5,-124.0,-123.5,49.25,-123.75,147,39,6.0,51.7,passenger
29.0,29.5,-95.5,-95.0,29.25,-95.25,142,13,3.87,21.1,tug/tow
40.0,40.5,-74.0,-73.5,40.25,-73.75,142,16,3.85,50.7,passenger
29.0,29.5,-94.0,-93.5,29.25,-93.75,140,24,2.63,68.6,tanker
35.0,35.5,-77.0,-76.5,35.25,-76.75,137,32,0.76,90.5,sailing
46.0,46.5,-123.5,-123.0,46.25,-123.25,132,21,3.07,64.4,sailing
36.5,37.0,-76.0,-75.5,36.75,-75.75,132,17,4.93,43.9,cargo
34.0,34.5,-119.5,-119.0,34.25,-119.25,132,37,1.02,94.7,sailing
29.0,29.5,-89.0,-88.5,29.25,-88.75,130,13,1.83,73.1,passenger
46.5,47.0,-92.5,-92.0,46.75,-92.25,129,13,0.29,89.9,cargo
43.5,44.0,-79.5,-79.0,43.75,-79.25,129,17,0.01,100.0,other
38.5,39.0,-77.5,-77.0,38.75,-77.25,127,27,0.69,92.1,sailing
48.5,49.0,-124.0,-123.5,48.75,-123.75,126,23,1.19,81.7,passenger
35.5,36.0,-76.0,-75.5,35.75,-75.75,125,25,0.58,78.4,fishing
38.5,39.0,-77.0,-76.5,38.75,-76.75,124,36,0.02,100.0,sailing
37.5,38.0,-123.0,-122.5,37.75,-122.75,123,12,8.14,11.4,cargo
29.5,30.0,-81.5,-81.0,29.75,-81.25,117,30,0.04,99.1,sailing
39.0,39.5,-76.5,-76.0,39.25,-76.25,111,17,2.85,68.5,other
29.0,29.5,-91.5,-91.0,29.25,-91.25,110,10,1.97,75.5,other
41.5,42.0,-70.5,-70.0,41.75,-70.25,110,10,5.58,41.8,other
42.0,42.5,-83.5,-83.0,42.25,-83.25,109,12,1.77,79.8,other
43.0,43.5,-124.5,-124.0,43.25,-124.25,107,14,0.4,92.5,other
38.5,39.0,-75.5,-75.0,38.75,-75.25,106,16,2.9,73.6,other
39.0,39.5,-74.5,-74.0,39.25,-74.25,99,13,1.26,86.9,other
41.0,41.5,-73.5,-73.0,41.25,-73.25,99,12,8.44,23.2,other
30.0,30.5,-90.0,-89.5,30.25,-89.75,99,12,2.32,53.5,tug/tow
38.0,38.5,-122.0,-121.5,38.25,-121.75,99,15,4.47,55.6,other
40.5,41.0,-73.5,-73.0,40.75,-73.25,97,11,3.75,67.0,other
28.5,29.0,-96.0,-95.5,28.75,-95.75,96,9,4.37,17.7,tug/tow
39.0,39.5,-75.0,-74.5,39.25,-74.75,96,13,0.41,91.7,other
32.5,33.0,-80.5,-80.0,32.75,-80.25,95,16,0.89,88.4,tug/tow
46.0,46.5,-124.5,-124.0,46.25,-124.25,95,18,1.42,90.5,other
41.0,41.5,-73.0,-72.5,41.25,-72.75,95,11,2.95,61.1,other
28.0,28.5,-83.0,-82.5,28.25,-82.75,94,18,0.58,87.2,sailing
27.5,28.0,-97.0,-96.5,27.75,-96.75,94,13,3.46,63.8,tanker
29.0,29.5,-94.5,-94.0,29.25,-94.25,94,14,7.46,39.4,tanker
30.0,30.5,-86.0,-85.5,30.25,-85.75,93,22,0.02,100.0,sailing
30.5,31.0,-92.0,-91.5,30.75,-91.75,91,9,4.98,8.8,tug/tow
29.5,30.0,-89.0,-88.5,29.75,-88.75,90,10,5.01,15.6,fishing
30.0,30.5,-86.5,-86.0,30.25,-86.25,89,16,2.68,76.4,sailing
46.0,46.5,-84.5,-84.0,46.25,-84.25,88,9,3.6,50.0,cargo
44.0,44.5,-124.5,-124.0,44.25,-124.25,87,10,5.18,1.1,fishing
28.0,28.5,-97.0,-96.5,28.25,-96.75,87,7,3.71,26.4,other
28.5,29.0,-90.0,-89.5,28.75,-89.75,84,12,4.66,48.8,other
21.0,21.5,-158.5,-158.0,21.25,-158.25,84,13,0.17,95.2,tug/tow
48.0,48.5,-122.5,-122.0,48.25,-122.25,81,28,1.28,91.4,sailing
30.5,31.0,-81.5,-81.0,30.75,-81.25,79,17,0.07,100.0,sailing
36.5,37.0,-122.0,-121.5,36.75,-121.75,79,16,3.18,63.3,sailing
28.5,29.0,-97.0,-96.5,28.75,-96.75,78,8,0.0,100.0,tug/tow
42.0,42.5,-124.5,-124.0,42.25,-124.25,78,10,1.68,62.8,fishing
31.0,31.5,-88.0,-87.5,31.25,-87.75,77,7,2.39,49.4,other
26.5,27.0,-82.5,-82.0,26.75,-82.25,76,20,0.87,81.6,sailing
28.5,29.0,-95.0,-94.5,28.75,-94.75,75,15,2.22,80.0,tanker
43.0,43.5,-70.5,-70.0,43.25,-70.25,74,7,8.26,6.8,fishing
39.5,40.0,-74.5,-74.0,39.75,-74.25,74,15,1.59,83.8,fishing
48.5,49.0,-122.5,-122.0,48.75,-122.25,74,17,0.06,98.6,sailing
41.0,41.5,-70.5,-70.0,41.25,-70.25,72,7,2.61,81.9,other
42.5,43.0,-82.5,-82.0,42.75,-82.25,71,10,1.94,80.3,other
34.5,35.0,-90.5,-90.0,34.75,-90.25,70,6,4.92,18.6,tug/tow
29.0,29.5,-92.5,-92.0,29.25,-92.25,70,10,2.48,70.0,passenger
30.5,31.0,-82.0,-81.5,30.75,-81.75,70,12,0.01,100.0,sailing
28.5,29.0,-90.5,-90.0,28.75,-90.25,69,17,3.91,58.0,other
41.0,41.5,-71.0,-70.5,41.25,-70.75,66,6,4.12,50.0,fishing
40.0,40.5,-80.5,-80.0,40.25,-80.25,66,6,0.0,100.0,passenger
17.5,18.0,-66.5,-66.0,17.75,-66.25,65,11,0.01,100.0,tug/tow
38.5,39.0,-82.5,-82.0,38.75,-82.25,65,12,2.07,60.0,tug/tow
33.5,34.0,-79.0,-78.5,33.75,-78.75,64,13,0.8,79.7,sailing
42.0,42.5,-71.0,-70.5,42.25,-70.75,63,7,2.14,71.4,other
25.5,26.0,-80.0,-79.5,25.75,-79.75,63,6,12.66,0.0,passenger
31.5,32.0,-81.5,-81.0,31.75,-81.25,63,13,0.0,100.0,sailing
25.0,25.5,-80.0,-79.5,25.25,-79.75,62,5,12.78,0.0,cargo
48.0,48.5,-124.0,-123.5,48.25,-123.75,62,15,1.19,85.5,fishing
26.0,26.5,-80.0,-79.5,26.25,-79.75,61,6,12.33,0.0,passenger
42.0,42.5,-74.0,-73.5,42.25,-73.75,60,6,1.65,75.0,tug/tow
28.0,28.5,-80.5,-80.0,28.25,-80.25,60,6,9.8,0.0,sailing
33.0,33.5,-117.5,-117.0,33.25,-117.25,58,10,1.12,81.0,sailing
27.0,27.5,-82.5,-82.0,27.25,-82.25,57,13,0.02,100.0,sailing
27.5,28.0,-98.0,-97.5,27.75,-97.75,56,6,1.06,66.1,tug/tow
29.5,30.0,-82.0,-81.5,29.75,-81.75,56,10,0.0,100.0,other
42.5,43.0,-71.0,-70.5,42.75,-70.75,56,9,0.07,100.0,fishing
34.0,34.5,-91.0,-90.5,34.25,-90.75,56,6,1.68,75.0,tug/tow
42.5,43.0,-74.0,-73.5,42.75,-73.75,56,5,0.0,100.0,other
45.5,46.0,-124.5,-124.0,45.75,-124.25,56,7,5.87,0.0,fishing
30.0,30.5,-87.0,-86.5,30.25,-86.75,55,11,2.08,74.5,sailing
34.0,34.5,-120.0,-119.5,34.25,-119.75,55,14,10.31,29.1,passenger
27.5,28.0,-83.5,-83.0,27.75,-83.25,55,8,6.24,30.9,cargo
17.5,18.0,-67.0,-66.5,17.75,-66.75,53,6,1.18,83.0,cargo
40.5,41.0,-72.5,-72.0,40.75,-72.25,53,7,5.46,50.9,cargo
33.0,33.5,-79.5,-79.0,33.25,-79.25,53,9,0.93,77.4,sailing
35.0,35.5,-75.5,-75.0,35.25,-75.25,52,7,6.97,0.0,cargo
27.5,28.0,-96.5,-96.0,27.75,-96.25,52,8,4.28,44.2,tanker
40.0,40.5,-75.0,-74.5,40.25,-74.75,52,6,3.17,46.2,other
42.0,42.5,-83.0,-82.5,42.25,-82.75,52,5,8.14,15.4,cargo
28.5,29.0,-94.5,-94.0,28.75,-94.25,51,6,11.75,5.9,tanker
42.0,42.5,-80.5,-80.0,42.25,-80.25,51,6,6.3,51.0,cargo
39.5,40.0,-74.0,-73.5,39.75,-73.75,50,5,7.44,24.0,fishing
37.0,37.5,-77.0,-76.5,37.25,-76.75,50,7,3.29,60.0,passenger
28.5,29.0,-81.0,-80.5,28.75,-80.75,50,12,1.23,80.0,sailing
24.5,25.0,-80.5,-80.0,24.75,-80.25,49,6,11.15,0.0,cargo
37.0,37.5,-77.5,-77.0,37.25,-77.25,49,5,1.74,79.6,tug/tow
44.0,44.5,-69.5,-69.0,44.25,-69.25,49,8,0.06,100.0,other
46.0,46.5,-125.0,-124.5,46.25,-124.75,48,5,8.77,25.0,cargo
29.0,29.5,-92.0,-91.5,29.25,-91.75,48,6,0.03,100.0,tug/tow
38.0,38.5,-75.5,-75.0,38.25,-75.25,47,8,0.11,97.9,fishing
28.0,28.5,-88.5,-88.0,28.25,-88.25,46,8,0.28,97.8,other
27.5,28.0,-80.5,-80.0,27.75,-80.25,46,14,0.98,84.8,sailing
17.5,18.0,-65.0,-64.5,17.75,-64.75,45,10,4.71,60.0,tanker
41.5,42.0,-83.5,-83.0,41.75,-83.25,45,5,2.67,73.3,other
39.0,39.5,-75.5,-75.0,39.25,-75.25,44,5,12.56,11.4,cargo
32.0,32.5,-117.5,-117.0,32.25,-117.25,44,6,0.22,100.0,tanker
42.5,43.0,-125.0,-124.5,42.75,-124.75,44,4,7.07,0.0,fishing
39.0,39.5,-76.0,-75.5,39.25,-75.75,43,6,0.64,95.3,other
43.0,43.5,-71.0,-70.5,43.25,-70.75,43,8,0.01,100.0,other
28.0,28.5,-89.5,-89.0,28.25,-89.25,43,8,2.82,76.7,other
28.5,29.0,-96.5,-96.0,28.75,-96.25,42,5,1.17,73.8,tug/tow
48.0,48.5,-124.5,-124.0,48.25,-124.25,42,3,15.51,0.0,cargo
35.0,35.5,-77.5,-77.0,35.25,-77.25,42,11,0.01,100.0,sailing
18.0,18.5,-67.0,-66.5,18.25,-66.75,42,5,0.0,92.9,other
29.5,30.0,-85.0,-84.5,29.75,-84.75,42,7,0.0,100.0,tug/tow
33.5,34.0,-78.0,-77.5,33.75,-77.75,41,8,5.61,46.3,passenger
28.5,29.0,-89.0,-88.5,28.75,-88.75,41,4,10.54,29.3,cargo
35.0,35.5,-76.0,-75.5,35.25,-75.75,41,4,4.22,51.2,passenger
29.0,29.5,-93.5,-93.0,29.25,-93.25,41,4,7.58,7.3,tug/tow
40.0,40.5,-80.0,-79.5,40.25,-79.75,40,4,2.38,42.5,tug/tow
43.5,44.0,-87.0,-86.5,43.75,-86.75,39,3,9.36,0.0,cargo
28.0,28.5,-96.5,-96.0,28.25,-96.25,39,5,2.44,66.7,other
34.5,35.0,-91.0,-90.5,34.75,-90.75,38,3,6.16,0.0,tug/tow
41.5,42.0,-82.0,-81.5,41.75,-81.75,37,3,7.42,32.4,other
43.5,44.0,-79.0,-78.5,43.75,-78.75,37,4,11.12,0.0,cargo
29.5,30.0,-88.0,-87.5,29.75,-87.75,37,3,9.42,0.0,cargo
33.5,34.0,-79.5,-79.0,33.75,-79.25,37,7,2.04,62.2,sailing
43.0,43.5,-79.5,-79.0,43.25,-79.25,37,5,0.14,100.0,cargo
34.5,35.0,-121.0,-120.5,34.75,-120.75,36,3,8.56,0.0,tug/tow
28.0,28.5,-89.0,-88.5,28.25,-88.75,36,5,7.29,25.0,cargo
31.5,32.0,-80.5,-80.0,31.75,-80.25,36,7,2.79,66.7,cargo
29.0,29.5,-93.0,-92.5,29.25,-92.75,35,4,6.88,0.0,fishing
30.0,30.5,-92.0,-91.5,30.25,-91.75,34,3,1.9,70.6,tug/tow
24.5,25.0,-81.0,-80.5,24.75,-80.75,34,9,7.79,47.1,sailing
42.5,43.0,-80.5,-80.0,42.75,-80.25,33,6,4.1,60.6,tanker
29.0,29.5,-91.0,-90.5,29.25,-90.75,33,8,1.78,72.7,sailing
35.5,36.0,-90.0,-89.5,35.75,-89.75,33,5,7.44,0.0,tug/tow
42.5,43.0,-79.5,-79.0,42.75,-79.25,33,3,1.2,54.5,tanker
35.0,35.5,-121.5,-121.0,35.25,-121.25,33,3,11.31,0.0,cargo
18.0,18.5,-65.5,-65.0,18.25,-65.25,33,9,0.13,100.0,sailing
34.0,34.5,-120.5,-120.0,34.25,-120.25,32,3,3.5,71.9,passenger
26.5,27.0,-97.5,-97.0,26.75,-97.25,32,4,0.64,84.4,passenger
34.5,35.0,-76.0,-75.5,34.75,-75.75,32,3,11.22,0.0,cargo
40.5,41.0,-70.5,-70.0,40.75,-70.25,32,3,4.25,0.0,fishing
44.0,44.5,-77.0,-76.5,44.25,-76.75,31,3,3.42,61.3,passenger
41.0,41.5,-82.0,-81.5,41.25,-81.75,31,3,0.0,100.0,tug/tow
42.5,43.0,-124.5,-124.0,42.75,-124.25,31,3,4.35,6.5,fishing
34.0,34.5,-121.0,-120.5,34.25,-120.75,30,3,12.51,0.0,cargo
41.0,41.5,-74.0,-73.5,41.25,-73.75,30,3,7.24,16.7,other
35.5,36.0,-76.5,-76.0,35.75,-76.25,30,3,5.51,16.7,other
