lat_min,lat_max,lon_min,lon_max,lat_c,lon_c,point_count,distinct_vessels,avg_sog,wait_pct,dominant_type
49.5,50.0,-123.5,-123.0,49.75,-123.25,20,4,1.44,85.0,sailing
45.5,46.0,-122.5,-122.0,45.75,-122.25,20,2,3.48,45.0,tug/tow
43.5,44.0,-124.5,-124.0,43.75,-124.25,20,4,2.44,60.0,fishing
41.5,42.0,-81.0,-80.5,41.75,-80.75,20,2,0.0,100.0,cargo
28.5,29.0,-80.5,-80.0,28.75,-80.25,20,2,7.75,0.0,sailing
24.5,25.0,-82.5,-82.0,24.75,-82.25,20,3,3.33,0.0,fishing
35.5,36.0,-90.5,-90.0,35.75,-90.25,19,2,3.02,52.6,tug/tow
40.5,41.0,-72.0,-71.5,40.75,-71.75,18,2,8.17,0.0,cargo
36.5,37.0,-124.0,-123.5,36.75,-123.75,18,2,11.71,0.0,other
29.5,30.0,-85.5,-85.0,29.75,-85.25,18,2,4.49,0.0,sailing
35.0,35.5,-121.0,-120.5,35.25,-120.75,18,3,0.0,100.0,other
19.5,20.0,-156.5,-156.0,19.75,-156.25,18,2,1.14,44.4,passenger
30.0,30.5,-81.0,-80.5,30.25,-80.75,18,2,2.63,72.2,cargo
43.5,44.0,-88.0,-87.5,43.75,-87.75,18,2,0.03,100.0,other
27.5,28.0,-90.0,-89.5,27.75,-89.75,18,3,1.89,83.3,cargo
38.0,38.5,-123.5,-123.0,38.25,-123.25,18,4,5.29,38.9,tug/tow
27.5,28.0,-89.5,-89.0,27.75,-89.25,18,2,11.84,0.0,other
25.0,25.5,-79.5,-79.0,25.25,-79.25,18,2,16.62,0.0,tanker
44.5,45.0,-87.5,-87.0,44.75,-87.25,17,2,0.01,100.0,tug/tow
29.0,29.5,-96.0,-95.5,29.25,-95.75,17,2,0.0,100.0,tug/tow
32.5,33.0,-79.0,-78.5,32.75,-78.75,17,2,11.06,23.5,cargo
23.5,24.0,-82.0,-81.5,23.75,-81.75,17,2,10.88,0.0,cargo
34.5,35.0,-121.5,-121.0,34.75,-121.25,17,2,11.28,0.0,cargo
42.5,43.0,-80.0,-79.5,42.75,-79.75,17,2,0.0,100.0,tug/tow
41.5,42.0,-88.5,-88.0,41.75,-88.25,17,5,0.0,100.0,tug/tow
49.0,49.5,-124.5,-124.0,49.25,-124.25,16,6,5.41,25.0,other
18.5,19.0,-67.5,-67.0,18.75,-67.25,15,1,11.85,0.0,sailing
33.5,34.0,-120.0,-119.5,33.75,-119.75,15,2,10.13,20.0,tanker
29.5,30.0,-84.5,-84.0,29.75,-84.25,15,2,7.81,0.0,sailing
48.0,48.5,-125.0,-124.5,48.25,-124.75,15,5,0.77,93.3,fishing
28.5,29.0,-83.0,-82.5,28.75,-82.75,15,3,2.99,53.3,other
47.5,48.0,-87.0,-86.5,47.75,-86.75,14,1,12.21,0.0,cargo
29.5,30.0,-81.0,-80.5,29.75,-80.75,14,1,14.15,0.0,cargo
38.0,38.5,-124.0,-123.5,38.25,-123.75,14,2,1.89,78.6,cargo
42.0,42.5,-125.5,-125.0,42.25,-125.25,14,1,15.04,0.0,cargo
48.0,48.5,-88.5,-88.0,48.25,-88.25,14,1,11.5,0.0,cargo
34.5,35.0,-76.5,-76.0,34.75,-76.25,14,1,7.74,0.0,other
33.0,33.5,-78.5,-78.0,33.25,-78.25,14,1,13.39,0.0,cargo
48.5,49.0,-125.5,-125.0,48.75,-125.25,14,1,11.25,0.0,cargo
38.0,38.5,-77.0,-76.5,38.25,-76.75,14,1,0.0,100.0,other
38.5,39.0,-122.0,-121.5,38.75,-121.75,14,3,0.0,100.0,cargo
43.5,44.0,-83.0,-82.5,43.75,-82.75,14,1,11.61,0.0,other
28.5,29.0,-93.5,-93.0,28.75,-93.25,14,2,9.46,28.6,tanker
44.0,44.5,-69.0,-68.5,44.25,-68.75,14,3,7.76,28.6,fishing
42.5,43.0,-125.5,-125.0,42.75,-125.25,14,1,4.61,0.0,other
48.0,48.5,-87.5,-87.0,48.25,-87.25,14,1,12.3,0.0,cargo
38.0,38.5,-75.0,-74.5,38.25,-74.75,14,2,13.15,0.0,tanker
43.5,44.0,-126.0,-125.5,43.75,-125.75,14,2,16.51,0.0,cargo
34.0,34.5,-122.0,-121.5,34.25,-121.75,14,1,11.34,0.0,tanker
45.0,45.5,-85.5,-85.0,45.25,-85.25,14,1,0.0,100.0,other
45.0,45.5,-83.5,-83.0,45.25,-83.25,14,1,14.24,0.0,cargo
20.5,21.0,-156.5,-156.0,20.75,-156.25,14,3,1.58,71.4,sailing
26.0,26.5,-98.0,-97.5,26.25,-97.75,14,3,0.04,100.0,other
48.5,49.0,-125.0,-124.5,48.75,-124.75,14,1,11.33,0.0,cargo
43.0,43.5,-88.0,-87.5,43.25,-87.75,14,3,0.0,100.0,other
41.5,42.0,-83.0,-82.5,41.75,-82.75,13,1,0.0,100.0,cargo
18.5,19.0,-64.5,-64.0,18.75,-64.25,13,1,8.21,0.0,cargo
46.5,47.0,-85.5,-85.0,46.75,-85.25,13,1,11.45,0.0,cargo
36.0,36.5,-123.0,-122.5,36.25,-122.75,13,1,12.05,0.0,cargo
17.5,18.0,-67.5,-67.0,17.75,-67.25,13,1,6.77,0.0,cargo
44.5,45.0,-83.0,-82.5,44.75,-82.75,13,1,12.7,0.0,cargo
38.5,39.0,-76.0,-75.5,38.75,-75.75,13,1,0.0,100.0,tug/tow
42.0,42.5,-88.0,-87.5,42.25,-87.75,13,3,0.2,92.3,other
46.5,47.0,-87.0,-86.5,46.75,-86.75,13,1,11.23,0.0,cargo
20.5,21.0,-157.0,-156.5,20.75,-156.75,13,2,4.33,53.8,other
20.5,21.0,-65.5,-65.0,20.75,-65.25,13,1,16.19,0.0,cargo
17.0,17.5,-64.5,-64.0,17.25,-64.25,13,1,17.4,0.0,cargo
43.0,43.5,-84.0,-83.5,43.25,-83.75,13,1,0.01,100.0,tug/tow
41.5,42.0,-125.5,-125.0,41.75,-125.25,13,1,11.91,0.0,cargo
29.0,29.5,-88.5,-88.0,29.25,-88.25,13,2,0.85,76.9,other
36.0,36.5,-75.0,-74.5,36.25,-74.75,13,1,0.64,100.0,cargo
44.0,44.5,-87.0,-86.5,44.25,-86.75,13,1,8.17,0.0,other
45.0,45.5,-125.0,-124.5,45.25,-124.75,12,1,6.58,0.0,other
40.5,41.0,-73.0,-72.5,40.75,-72.75,12,1,0.0,100.0,sailing
19.5,20.0,-67.0,-66.5,19.75,-66.75,12,1,12.69,0.0,tanker
21.0,21.5,-159.5,-159.0,21.25,-159.25,12,1,10.88,0.0,other
38.0,38.5,-82.5,-82.0,38.25,-82.25,12,2,3.84,0.0,tug/tow
44.0,44.5,-82.0,-81.5,44.25,-81.75,12,1,9.69,0.0,cargo
40.5,41.0,-125.5,-125.0,40.75,-125.25,12,1,11.44,0.0,other
32.5,33.0,-119.5,-119.0,32.75,-119.25,12,1,4.42,0.0,tanker
38.5,39.0,-124.5,-124.0,38.75,-124.25,12,1,8.49,0.0,cargo
31.0,31.5,-92.5,-92.0,31.25,-92.25,12,2,1.09,75.0,other
37.0,37.5,-75.0,-74.5,37.25,-74.75,12,1,0.77,100.0,cargo
41.0,41.5,-125.5,-125.0,41.25,-125.25,12,1,17.82,0.0,cargo
18.0,18.5,-64.0,-63.5,18.25,-63.75,12,1,18.24,0.0,cargo
18.5,19.0,-66.5,-66.0,18.75,-66.25,12,1,12.43,0.0,cargo
35.5,36.0,-122.0,-121.5,35.75,-121.75,12,1,7.63,0.0,tanker
39.5,40.0,-75.0,-74.5,39.75,-74.75,12,1,0.0,100.0,other
21.0,21.5,-157.5,-157.0,21.25,-157.25,12,1,7.21,0.0,fishing
46.5,47.0,-87.5,-87.0,46.75,-87.25,12,1,0.01,100.0,cargo
46.0,46.5,-126.0,-125.5,46.25,-125.75,12,1,12.76,0.0,tanker
26.0,26.5,-97.0,-96.5,26.25,-96.75,12,1,3.11,0.0,other
20.0,20.5,-156.5,-156.0,20.25,-156.25,12,1,8.23,0.0,tug/tow
36.0,36.5,-76.5,-76.0,36.25,-76.25,12,1,6.03,0.0,other
38.0,38.5,-124.5,-124.0,38.25,-124.25,11,1,12.95,0.0,cargo
40.0,40.5,-125.0,-124.5,40.25,-124.75,11,1,9.86,0.0,tug/tow
28.5,29.0,-92.5,-92.0,28.75,-92.25,11,2,17.04,0.0,passenger
17.5,18.0,-66.0,-65.5,17.75,-65.75,11,1,5.3,0.0,sailing
19.0,19.5,-67.5,-67.0,19.25,-67.25,11,1,10.17,0.0,cargo
43.5,44.0,-78.0,-77.5,43.75,-77.75,11,1,11.23,0.0,cargo
36.0,36.5,-123.5,-123.0,36.25,-123.25,11,1,11.59,0.0,tanker
32.5,33.0,-118.5,-118.0,32.75,-118.25,11,1,10.86,0.0,tanker
42.5,43.0,-87.0,-86.5,42.75,-86.75,11,1,7.49,0.0,other
34.0,34.5,-76.5,-76.0,34.25,-76.25,11,1,12.04,0.0,tanker
31.0,31.5,-80.5,-80.0,31.25,-80.25,11,1,0.85,100.0,cargo
40.5,41.0,-125.0,-124.5,40.75,-124.75,11,1,10.51,0.0,cargo
18.0,18.5,-68.0,-67.5,18.25,-67.75,11,1,10.8,0.0,cargo
34.0,34.5,-75.5,-75.0,34.25,-75.25,11,1,10.1,0.0,cargo
44.0,44.5,-83.0,-82.5,44.25,-82.75,11,1,12.09,0.0,cargo
29.5,30.0,-88.5,-88.0,29.75,-88.25,11,1,4.41,0.0,tug/tow
37.5,38.0,-76.0,-75.5,37.75,-75.75,11,3,4.08,27.3,sailing
32.0,32.5,-79.5,-79.0,32.25,-79.25,11,1,12.78,0.0,cargo
42.0,42.5,-70.0,-69.5,42.25,-69.75,11,1,2.69,0.0,fishing
34.0,34.5,-119.0,-118.5,34.25,-118.75,11,1,0.56,90.9,fishing
44.0,44.5,-77.5,-77.0,44.25,-77.25,11,1,2.72,36.4,passenger
34.0,34.5,-76.0,-75.5,34.25,-75.75,11,2,19.85,0.0,cargo
30.0,30.5,-92.5,-92.0,30.25,-92.25,10,1,5.08,0.0,other
30.5,31.0,-80.5,-80.0,30.75,-80.25,10,1,15.66,0.0,cargo
30.5,31.0,-88.0,-87.5,30.75,-87.75,10,1,3.55,0.0,tug/tow
27.5,28.0,-84.0,-83.5,27.75,-83.75,10,2,9.1,0.0,other
28.5,29.0,-93.0,-92.5,28.75,-92.75,10,1,18.45,0.0,other
19.5,20.0,-66.5,-66.0,19.75,-66.25,10,1,18.49,0.0,cargo
32.5,33.0,-78.5,-78.0,32.75,-78.25,10,1,2.94,0.0,cargo
47.0,47.5,-87.0,-86.5,47.25,-86.75,10,1,11.66,0.0,cargo
49.5,50.0,-125.0,-124.5,49.75,-124.75,10,3,3.88,40.0,passenger
41.0,41.5,-126.5,-126.0,41.25,-126.25,10,1,12.26,0.0,tanker
27.5,28.0,-91.0,-90.5,27.75,-90.75,10,3,11.97,10.0,cargo
19.5,20.0,-156.0,-155.5,19.75,-155.75,10,1,3.94,30.0,passenger
37.5,38.0,-90.5,-90.0,37.75,-90.25,10,2,0.07,100.0,other
47.5,48.0,-125.5,-125.0,47.75,-125.25,10,1,6.34,0.0,tug/tow
43.5,44.0,-77.0,-76.5,43.75,-76.75,10,1,14.28,0.0,tanker
29.5,30.0,-89.5,-89.0,29.75,-89.25,10,1,0.02,100.0,passenger
46.5,47.0,-125.0,-124.5,46.75,-124.75,10,1,11.64,0.0,cargo
33.0,33.5,-79.0,-78.5,33.25,-78.75,10,1,4.88,0.0,sailing
33.5,34.0,-77.5,-77.0,33.75,-77.25,10,1,12.62,0.0,cargo
21.5,22.0,-159.5,-159.0,21.75,-159.25,10,1,6.66,0.0,other
39.5,40.0,-69.5,-69.0,39.75,-69.25,10,2,13.57,0.0,cargo
38.5,39.0,-74.5,-74.0,38.75,-74.25,10,2,8.01,0.0,cargo
38.5,39.0,-124.0,-123.5,38.75,-123.75,10,1,9.46,0.0,tug/tow
17.0,17.5,-66.5,-66.0,17.25,-66.25,10,1,3.34,0.0,fishing
47.5,48.0,-88.0,-87.5,47.75,-87.75,10,1,12.24,0.0,cargo
17.0,17.5,-67.5,-67.0,17.25,-67.25,9,1,9.82,0.0,tanker
31.5,32.0,-80.0,-79.5,31.75,-79.75,9,1,12.39,0.0,cargo
39.0,39.5,-73.5,-73.0,39.25,-73.25,9,1,0.09,100.0,other
39.0,39.5,-124.0,-123.5,39.25,-123.75,9,1,2.67,11.1,fishing
45.0,45.5,-123.0,-122.5,45.25,-122.75,9,3,0.01,100.0,sailing
24.0,24.5,-83.0,-82.5,24.25,-82.75,9,1,11.58,0.0,tanker
41.5,42.0,-71.5,-71.0,41.75,-71.25,9,2,0.0,100.0,cargo
34.5,35.0,-77.5,-77.0,34.75,-77.25,9,2,0.13,100.0,sailing
18.5,19.0,-65.5,-65.0,18.75,-65.25,9,1,6.03,0.0,sailing
35.0,35.5,-75.0,-74.5,35.25,-74.75,9,1,7.61,0.0,cargo
31.0,31.5,-80.0,-79.5,31.25,-79.75,9,1,8.97,0.0,cargo
45.5,46.0,-124.0,-123.5,45.75,-123.75,9,1,6.48,0.0,fishing
28.0,28.5,-97.5,-97.0,28.25,-97.25,9,2,4.5,33.3,tug/tow
35.0,35.5,-122.0,-121.5,35.25,-121.75,9,2,16.06,0.0,cargo
32.5,33.0,-78.0,-77.5,32.75,-77.75,9,1,10.11,0.0,cargo
40.5,41.0,-71.5,-71.0,40.75,-71.25,9,1,7.11,0.0,cargo
36.5,37.0,-74.5,-74.0,36.75,-74.25,9,2,6.08,44.4,cargo
18.5,19.0,-68.0,-67.5,18.75,-67.75,9,1,7.17,0.0,fishing
46.5,47.0,-91.0,-90.5,46.75,-90.75,9,3,0.0,100.0,passenger
32.0,32.5,-80.5,-80.0,32.25,-80.25,9,2,0.0,100.0,cargo
28.0,28.5,-88.0,-87.5,28.25,-87.75,9,1,0.0,100.0,other
23.5,24.0,-82.5,-82.0,23.75,-82.25,9,3,15.99,0.0,tanker
38.0,38.5,-76.0,-75.5,38.25,-75.75,9,4,0.01,100.0,sailing
38.0,38.5,-121.5,-121.0,38.25,-121.25,9,2,0.0,100.0,sailing
48.0,48.5,-126.0,-125.5,48.25,-125.75,9,1,12.22,0.0,tanker
44.5,45.0,-88.5,-88.0,44.75,-88.25,8,1,0.01,100.0,tug/tow
28.0,28.5,-91.0,-90.5,28.25,-90.75,8,1,11.57,0.0,other
33.5,34.0,-119.0,-118.5,33.75,-118.75,8,1,8.58,0.0,sailing
39.0,39.5,-74.0,-73.5,39.25,-73.75,8,2,5.6,0.0,fishing
33.0,33.5,-77.5,-77.0,33.25,-77.25,8,1,12.91,0.0,cargo
28.0,28.5,-80.0,-79.5,28.25,-79.75,8,1,9.14,0.0,sailing
47.0,47.5,-123.5,-123.0,47.25,-123.25,8,2,0.0,100.0,other
28.0,28.5,-86.0,-85.5,28.25,-85.75,8,1,7.92,0.0,cargo
32.5,33.0,-79.5,-79.0,32.75,-79.25,8,2,0.16,100.0,cargo
41.0,41.5,-67.5,-67.0,41.25,-67.25,8,1,14.0,0.0,cargo
20.0,20.5,-155.5,-155.0,20.25,-155.25,8,1,8.24,0.0,tug/tow
19.5,20.0,-155.5,-155.0,19.75,-155.25,7,1,8.0,0.0,tug/tow
40.0,40.5,-70.0,-69.5,40.25,-69.75,7,1,11.53,0.0,tanker
27.5,28.0,-93.0,-92.5,27.75,-92.75,7,2,4.57,0.0,tanker
43.0,43.5,-125.0,-124.5,43.25,-124.75,7,1,7.3,0.0,fishing
18.0,18.5,-63.5,-63.0,18.25,-63.25,7,2,8.41,14.3,passenger
43.0,43.5,-68.0,-67.5,43.25,-67.75,7,1,11.01,0.0,tanker
27.5,28.0,-84.5,-84.0,27.75,-84.25,7,2,3.94,0.0,other
37.5,38.0,-77.0,-76.5,37.75,-76.75,7,2,0.03,100.0,sailing
29.0,29.5,-81.5,-81.0,29.25,-81.25,7,4,0.06,100.0,sailing
42.0,42.5,-81.5,-81.0,42.25,-81.25,7,1,6.89,0.0,cargo
19.0,19.5,-66.0,-65.5,19.25,-65.75,7,1,7.86,0.0,sailing
25.5,26.0,-88.0,-87.5,25.75,-87.75,7,1,14.06,0.0,tanker
24.0,24.5,-80.5,-80.0,24.25,-80.25,7,1,15.84,0.0,cargo
37.0,37.5,-123.0,-122.5,37.25,-122.75,7,2,1.73,42.9,other
25.0,25.5,-81.0,-80.5,25.25,-80.75,7,2,0.0,100.0,sailing
25.5,26.0,-86.5,-86.0,25.75,-86.25,7,1,22.16,0.0,passenger
41.0,41.5,-68.0,-67.5,41.25,-67.75,6,1,9.5,0.0,cargo
25.0,25.5,-82.0,-81.5,25.25,-81.75,6,1,33.12,0.0,passenger
38.5,39.0,-74.0,-73.5,38.75,-73.75,6,1,9.87,0.0,cargo
18.5,19.0,-68.5,-68.0,18.75,-68.25,6,2,5.92,16.7,sailing
20.0,20.5,-64.5,-64.0,20.25,-64.25,6,1,16.88,0.0,cargo
24.0,24.5,-83.5,-83.0,24.25,-83.25,6,1,13.9,0.0,tanker
40.0,40.5,-68.5,-68.0,40.25,-68.25,6,1,11.5,0.0,cargo
47.5,48.0,-87.5,-87.0,47.75,-87.25,5,1,12.34,0.0,cargo
36.0,36.5,-76.0,-75.5,36.25,-75.75,5,1,0.02,100.0,sailing
33.5,34.0,-76.0,-75.5,33.75,-75.75,5,1,23.06,0.0,cargo
27.5,28.0,-96.0,-95.5,27.75,-95.75,5,1,0.0,100.0,tanker
28.5,29.0,-91.0,-90.5,28.75,-90.75,5,2,0.24,100.0,cargo
47.0,47.5,-91.5,-91.0,47.25,-91.25,5,1,0.02,100.0,tug/tow
43.5,44.0,-84.0,-83.5,43.75,-83.75,5,1,0.94,80.0,sailing
31.0,31.5,-79.0,-78.5,31.25,-78.75,5,1,16.94,0.0,cargo
27.0,27.5,-90.5,-90.0,27.25,-90.25,5,3,0.04,100.0,other
27.0,27.5,-89.0,-88.5,27.25,-88.75,5,1,11.72,0.0,cargo
17.5,18.0,-69.0,-68.5,17.75,-68.75,5,1,19.18,0.0,cargo
43.5,44.0,-68.0,-67.5,43.75,-67.75,5,1,7.72,0.0,fishing
29.0,29.5,-80.0,-79.5,29.25,-79.75,5,1,2.6,0.0,cargo
40.5,41.0,-81.0,-80.5,40.75,-80.75,5,1,0.0,100.0,tug/tow
19.0,19.5,-68.5,-68.0,19.25,-68.25,5,1,10.12,0.0,cargo
28.5,29.0,-88.5,-88.0,28.75,-88.25,5,1,0.34,100.0,cargo
48.5,49.0,-127.0,-126.5,48.75,-126.75,5,2,8.2,0.0,cargo
35.0,35.5,-76.5,-76.0,35.25,-76.25,5,2,1.7,80.0,sailing
19.5,20.0,-70.0,-69.5,19.75,-69.75,5,1,11.86,0.0,cargo
42.0,42.5,-81.0,-80.5,42.25,-80.75,5,1,6.9,0.0,cargo
27.5,28.0,-91.5,-91.0,27.75,-91.25,4,1,0.0,100.0,other
37.0,37.5,-75.5,-75.0,37.25,-75.25,4,1,6.97,0.0,other
19.0,19.5,-159.5,-159.0,19.25,-159.25,4,1,6.9,0.0,tanker
25.5,26.0,-78.0,-77.5,25.75,-77.75,4,1,19.48,0.0,passenger
37.0,37.5,-122.5,-122.0,37.25,-122.25,4,1,0.0,100.0,sailing
25.0,25.5,-81.5,-81.0,25.25,-81.25,4,1,0.1,100.0,sailing
43.5,44.0,-82.0,-81.5,43.75,-81.75,4,1,0.0,100.0,other
36.5,37.0,-122.5,-122.0,36.75,-122.25,4,3,0.0,100.0,sailing
33.0,33.5,-80.0,-79.5,33.25,-79.75,4,1,0.0,100.0,sailing
29.0,29.5,-88.0,-87.5,29.25,-87.75,4,1,0.17,100.0,cargo
48.0,48.5,-89.5,-89.0,48.25,-89.25,4,2,0.0,100.0,cargo
35.5,36.0,-74.5,-74.0,35.75,-74.25,4,1,12.57,0.0,cargo
48.5,49.0,-126.0,-125.5,48.75,-125.75,4,2,0.0,100.0,fishing
38.5,39.0,-91.0,-90.5,38.75,-90.75,4,2,4.85,0.0,other
38.0,38.5,-77.5,-77.0,38.25,-77.25,4,1,0.0,100.0,sailing
43.0,43.5,-77.0,-76.5,43.25,-76.75,4,1,0.0,100.0,fishing
49.0,49.5,-125.0,-124.5,49.25,-124.75,4,1,0.0,100.0,passenger
43.5,44.0,-125.0,-124.5,43.75,-124.75,4,1,7.4,0.0,fishing
42.5,43.0,-83.0,-82.5,42.75,-82.75,4,1,11.23,0.0,cargo
25.5,26.0,-84.0,-83.5,25.75,-83.75,3,1,11.77,0.0,cargo
16.5,17.0,-66.5,-66.0,16.75,-66.25,3,1,3.17,0.0,fishing
49.0,49.5,-126.5,-126.0,49.25,-126.25,3,1,0.2,100.0,other
29.0,29.5,-87.5,-87.0,29.25,-87.25,3,1,12.83,0.0,cargo
26.5,27.0,-82.0,-81.5,26.75,-81.75,3,1,0.0,100.0,passenger
48.5,49.0,-126.5,-126.0,48.75,-126.25,3,1,4.47,0.0,fishing
30.5,31.0,-86.5,-86.0,30.75,-86.25,3,1,0.0,100.0,sailing
27.5,28.0,-92.5,-92.0,27.75,-92.25,3,1,13.07,0.0,tug/tow
48.0,48.5,-126.5,-126.0,48.25,-126.25,3,1,1.57,66.7,fishing
42.5,43.0,-68.0,-67.5,42.75,-67.75,3,2,6.73,0.0,fishing
40.0,40.5,-67.5,-67.0,40.25,-67.25,3,1,11.63,0.0,cargo
28.5,29.0,-91.5,-91.0,28.75,-91.25,3,1,0.0,100.0,other
27.0,27.5,-79.5,-79.0,27.25,-79.25,3,2,14.6,0.0,cargo
44.0,44.5,-68.5,-68.0,44.25,-68.25,3,1,0.0,100.0,other
49.5,50.0,-124.0,-123.5,49.75,-123.75,3,1,0.0,100.0,fishing
31.0,31.5,-82.0,-81.5,31.25,-81.75,3,1,0.0,100.0,sailing
25.5,26.0,-95.5,-95.0,25.75,-95.25,3,1,9.23,0.0,tanker
26.5,27.0,-88.5,-88.0,26.75,-88.25,3,1,10.5,0.0,cargo
26.0,26.5,-79.5,-79.0,26.25,-79.25,3,1,0.7,100.0,tanker
17.0,17.5,-67.0,-66.5,17.25,-66.75,3,1,9.73,0.0,tanker
30.5,31.0,-81.0,-80.5,30.75,-80.75,2,1,9.65,0.0,sailing
23.5,24.0,-83.0,-82.5,23.75,-82.75,2,1,10.55,0.0,tanker
37.5,38.0,-122.0,-121.5,37.75,-121.75,2,1,0.1,100.0,sailing
25.0,25.5,-83.5,-83.0,25.25,-83.25,2,1,11.6,0.0,cargo
31.5,32.0,-117.5,-117.0,31.75,-117.25,2,1,6.75,0.0,tanker
30.5,31.0,-79.0,-78.5,30.75,-78.75,2,1,14.3,0.0,cargo
44.5,45.0,-86.0,-85.5,44.75,-85.75,2,1,0.0,100.0,passenger
25.5,26.0,-85.0,-84.5,25.75,-84.75,2,1,13.75,0.0,tanker
28.0,28.5,-84.0,-83.5,28.25,-83.75,2,1,12.6,0.0,other
27.0,27.5,-91.0,-90.5,27.25,-90.75,2,2,0.1,100.0,other
26.0,26.5,-79.0,-78.5,26.25,-78.75,2,1,21.45,0.0,passenger
28.5,29.0,-84.0,-83.5,28.75,-83.75,2,1,6.5,0.0,sailing
26.0,26.5,-93.0,-92.5,26.25,-92.75,2,1,13.7,0.0,tanker
27.5,28.0,-85.0,-84.5,27.75,-84.75,2,1,9.9,0.0,other
39.5,40.0,-73.0,-72.5,39.75,-72.75,2,1,8.75,0.0,tanker
46.5,47.0,-124.0,-123.5,46.75,-123.75,2,1,0.0,0.0,other
35.5,36.0,-77.0,-76.5,35.75,-76.75,2,1,0.0,100.0,sailing
23.5,24.0,-83.5,-83.0,23.75,-83.25,2,1,16.25,0.0,tanker
48.0,48.5,-127.0,-126.5,48.25,-126.75,2,1,8.05,0.0,other
42.0,42.5,-87.0,-86.5,42.25,-86.75,2,1,7.6,0.0,other
38.0,38.5,-82.0,-81.5,38.25,-81.75,1,1,0.0,100.0,other
26.5,27.0,-79.5,-79.0,26.75,-79.25,1,1,13.2,0.0,tanker
26.0,26.5,-95.0,-94.5,26.25,-94.75,1,1,0.0,100.0,other
40.0,40.5,-68.0,-67.5,40.25,-67.75,1,1,11.4,0.0,cargo
27.5,28.0,-92.0,-91.5,27.75,-91.75,1,1,14.6,0.0,cargo
30.0,30.5,-117.5,-117.0,30.25,-117.25,1,1,10.3,0.0,tanker
50.0,50.5,-125.5,-125.0,50.25,-125.25,1,1,12.6,0.0,passenger
27.0,27.5,-96.5,-96.0,27.25,-96.25,1,1,11.0,0.0,tanker
28.5,29.0,-86.0,-85.5,28.75,-85.75,1,1,10.9,0.0,tug/tow
23.5,24.0,-81.5,-81.0,23.75,-81.25,1,1,11.3,0.0,cargo
26.5,27.0,-80.0,-79.5,26.75,-79.75,1,1,8.8,0.0,passenger
27.5,28.0,-90.5,-90.0,27.75,-90.25,1,1,9.2,0.0,cargo
41.0,41.5,-68.5,-68.0,41.25,-68.25,1,1,6.5,0.0,fishing
28.5,29.0,-86.5,-86.0,28.75,-86.25,1,1,10.2,0.0,cargo
25.5,26.0,-83.0,-82.5,25.75,-82.75,1,1,5.6,0.0,other
18.0,18.5,-70.5,-70.0,18.25,-70.25,1,1,0.1,100.0,cargo
24.5,25.0,-81.5,-81.0,24.75,-81.25,1,1,0.1,100.0,sailing
18.0,18.5,-69.5,-69.0,18.25,-69.25,1,1,0.0,100.0,cargo
25.5,26.0,-93.0,-92.5,25.75,-92.75,1,1,12.5,0.0,tanker
15.5,16.0,-65.5,-65.0,15.75,-65.25,1,1,11.7,0.0,cargo
27.5,28.0,-88.0,-87.5,27.75,-87.75,1,1,12.1,0.0,other
24.0,24.5,-87.5,-87.0,24.25,-87.25,1,1,11.7,0.0,tanker
43.5,44.0,-69.5,-69.0,43.75,-69.25,1,1,0.0,100.0,fishing
17.0,17.5,-70.5,-70.0,17.25,-70.25,1,1,1.9,0.0,cargo
31.5,32.0,-117.0,-116.5,31.75,-116.75,1,1,0.0,100.0,cargo
17.5,18.0,-63.5,-63.0,17.75,-63.25,1,1,10.5,0.0,tanker
28.0,28.5,-94.0,-93.5,28.25,-93.75,1,1,0.1,100.0,cargo
26.0,26.5,-89.5,-89.0,26.25,-89.25,1,1,10.8,0.0,tanker
28.5,29.0,-92.0,-91.5,28.75,-91.75,1,1,0.1,100.0,other
36.0,36.5,-74.5,-74.0,36.25,-74.25,1,1,12.5,0.0,tanker
30.0,30.5,-80.5,-80.0,30.25,-80.25,1,1,15.4,0.0,cargo
41.0,41.5,-71.5,-71.0,41.25,-71.25,1,1,0.3,100.0,cargo
45.5,46.0,-126.0,-125.5,45.75,-125.75,1,1,13.3,0.0,cargo
44.5,45.0,-67.0,-66.5,44.75,-66.75,1,1,14.4,0.0,passenger
43.5,44.0,-76.5,-76.0,43.75,-76.25,1,1,14.3,0.0,tanker
25.0,25.5,-84.0,-83.5,25.25,-83.75,1,1,11.8,0.0,cargo
24.5,25.0,-83.5,-83.0,24.75,-83.25,1,1,13.9,0.0,tanker
28.0,28.5,-93.5,-93.0,28.25,-93.25,1,1,13.3,0.0,tanker
25.0,25.5,-82.5,-82.0,25.25,-82.25,1,1,3.1,0.0,fishing
43.5,44.0,-78.5,-78.0,43.75,-78.25,1,1,11.9,0.0,cargo
